impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6553.600
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2737.796
mma_fp16acc_m16n32,256,1129.931
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2086.718
mma_fp16acc_m16n32_k32_4x4,256,1565.039
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4877.098
cublaslt_fp16acc,256,6921.294
wmma_fp16acc_staged_cpasync_k64_skew16,512,37035.796
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29589.446
mma_fp16acc,512,10944.042
mma_fp16acc_m16n32,512,4682.449
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,6993.421
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24928.998
cublaslt_fp16acc,512,34169.482
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46718.731
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10195.013
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21183.353
mma_fp16acc_m16n32_k32_4x4,768,16233.688
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
cublaslt_fp16acc,768,59478.052
wmma_fp16acc_staged_cpasync_k64_skew16,1024,62689.270
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87324.478
mma_fp16acc,1024,21166.650
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26255.425
mma_fp16acc_m16n32_k32_4x2,1024,37989.732
mma_fp16acc_m16n32_k32_4x4,1024,29127.110
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
cublaslt_fp16acc,1024,67650.065
